session_id,station_name,line,session_date,session_hour,duration_min,data_mb,anonymised_user_token,device_type,os_type,gdpr_consent,retention_flag,data_tier
TFL-0000051,Paddington,Piccadilly,2024-04-22,1,108,135.22,TFL-291468-ANON,Laptop,Android,Yes,Purged,Internal
TFL-0000052,Stratford,Elizabeth,2023-02-11,15,85,377.15,TFL-873718-ANON,Tablet,macOS,No,Retain,Internal
TFL-0000053,Canary Wharf,Central,2024-12-27,23,80,283.74,TFL-485072-ANON,Mobile,iOS,Yes,Purge_Pending,Sensitive
TFL-0000054,King's Cross,Central,2024-03-12,4,76,267.22,TFL-117935-ANON,Laptop,iOS,Yes,Purge_Pending,Sensitive
TFL-0000055,Canary Wharf,Northern,2024-03-04,13,82,408.66,TFL-674840-ANON,Mobile,macOS,No,Purged,Public
TFL-0000056,Euston,Circle,2023-12-13,21,88,69.17,TFL-366777-ANON,Mobile,macOS,Yes,Purge_Pending,Public
TFL-0000057,Canary Wharf,District,2023-01-15,8,35,485.59,TFL-175085-ANON,Laptop,macOS,No,Retain,Public
TFL-0000058,Waterloo,Central,2024-07-10,23,99,373.17,TFL-507551-ANON,Tablet,Windows,No,Retain,Internal
TFL-0000059,Waterloo,Northern,2023-06-26,1,118,492.05,TFL-529423-ANON,Mobile,iOS,Yes,Purge_Pending,Sensitive
TFL-0000060,Waterloo,Circle,2024-11-24,15,29,483.01,TFL-797969-ANON,Laptop,Windows,No,Retain,Internal
TFL-0000061,Stratford,Piccadilly,2024-01-27,12,37,337.61,TFL-968260-ANON,Laptop,macOS,No,Purge_Pending,Public
TFL-0000062,Heathrow T1,Northern,2023-03-28,12,33,370.52,TFL-548708-ANON,Laptop,Windows,No,Purge_Pending,Public
TFL-0000063,King's Cross,Circle,2023-10-12,18,103,235.68,TFL-116274-ANON,Laptop,iOS,No,Retain,Internal
TFL-0000064,Stratford,Elizabeth,2024-12-15,3,119,293.52,TFL-740285-ANON,Mobile,Android,Yes,Purge_Pending,Sensitive
TFL-0000065,Paddington,Piccadilly,2024-08-12,22,1,308.72,TFL-598684-ANON,Laptop,macOS,Yes,Purge_Pending,Sensitive
TFL-0000066,Victoria,Jubilee,2024-03-07,12,17,279.53,TFL-700017-ANON,Laptop,macOS,No,Purged,Internal
TFL-0000067,Euston,District,2024-08-16,10,109,20.67,TFL-386307-ANON,Tablet,macOS,No,Purge_Pending,Public
TFL-0000068,Liverpool Street,Circle,2023-10-16,15,100,9.31,TFL-204976-ANON,Laptop,macOS,No,Purge_Pending,Internal
TFL-0000069,Paddington,Northern,2023-09-13,8,63,154.02,TFL-914023-ANON,Laptop,Android,Yes,Purge_Pending,Sensitive
TFL-0000070,King's Cross,District,2023-09-19,12,66,495.92,TFL-762287-ANON,Tablet,Android,No,Purge_Pending,Public
TFL-0000071,Waterloo,Northern,2024-12-20,6,11,178.51,TFL-266822-ANON,Tablet,macOS,Yes,Purged,Public
TFL-0000072,Paddington,Circle,2024-11-05,13,94,119.28,TFL-475644-ANON,Tablet,Windows,Yes,Purge_Pending,Internal
TFL-0000073,London Bridge,Piccadilly,2023-09-18,4,27,163.27,TFL-252972-ANON,Tablet,Windows,Yes,Retain,Public
TFL-0000074,Heathrow T1,District,2023-07-20,8,97,367.14,TFL-721371-ANON,Tablet,iOS,No,Purged,Internal
TFL-0000075,Liverpool Street,Elizabeth,2023-06-30,2,61,268.55,TFL-555931-ANON,Mobile,Android,No,Purge_Pending,Sensitive
TFL-0000076,King's Cross,Elizabeth,2024-10-04,0,72,353.18,TFL-696829-ANON,Tablet,iOS,Yes,Purged,Public
TFL-0000077,Stratford,Jubilee,2023-01-19,7,35,78.66,TFL-666458-ANON,Tablet,Windows,No,Purged,Internal
TFL-0000078,Waterloo,Elizabeth,2024-04-26,15,11,267.43,TFL-424303-ANON,Mobile,Android,Yes,Purge_Pending,Public
TFL-0000079,Liverpool Street,District,2023-02-01,6,69,320.77,TFL-126196-ANON,Mobile,iOS,Yes,Purge_Pending,Sensitive
TFL-0000080,King's Cross,District,2024-01-10,23,22,19.83,TFL-323630-ANON,Mobile,Windows,No,Retain,Sensitive
TFL-0000081,Paddington,Central,2024-12-27,12,72,421.34,TFL-574335-ANON,Laptop,Windows,No,Retain,Internal
TFL-0000082,Paddington,District,2024-10-01,18,46,54.13,TFL-596402-ANON,Laptop,Windows,No,Purge_Pending,Internal
TFL-0000083,Victoria,Piccadilly,2023-08-25,8,104,155.28,TFL-349770-ANON,Mobile,Windows,Yes,Purge_Pending,Sensitive
TFL-0000084,Victoria,District,2024-12-28,3,57,361.86,TFL-677623-ANON,Tablet,Android,No,Purged,Public
TFL-0000085,King's Cross,Victoria,2023-03-22,11,9,419.62,TFL-178270-ANON,Mobile,Android,Yes,Purged,Public
TFL-0000086,Heathrow T1,Circle,2023-11-12,12,87,9.2,TFL-125816-ANON,Tablet,Android,Yes,Purged,Internal
TFL-0000087,Paddington,Piccadilly,2024-10-13,23,49,358.8,TFL-812085-ANON,Mobile,Android,No,Purged,Internal
TFL-0000088,Liverpool Street,Northern,2024-08-30,6,88,433.54,TFL-481793-ANON,Mobile,macOS,Yes,Purge_Pending,Sensitive
TFL-0000089,Paddington,District,2024-06-11,8,45,395.97,TFL-441163-ANON,Tablet,Android,Yes,Retain,Internal
TFL-0000090,Stratford,District,2024-07-09,14,18,11.76,TFL-759209-ANON,Laptop,Windows,No,Purge_Pending,Internal
TFL-0000091,Canary Wharf,Circle,2024-02-03,11,53,479.5,TFL-719633-ANON,Tablet,Android,No,Purge_Pending,Internal
TFL-0000092,Victoria,Circle,2023-01-08,23,55,29.12,TFL-871219-ANON,Laptop,Android,No,Retain,Internal
TFL-0000093,Heathrow T1,Circle,2024-09-28,15,49,325.88,TFL-208232-ANON,Tablet,macOS,No,Purge_Pending,Internal
TFL-0000094,Canary Wharf,Central,2023-04-12,21,32,180.79,TFL-636691-ANON,Laptop,Android,No,Purged,Public
TFL-0000095,London Bridge,Central,2024-09-08,10,19,310.12,TFL-450320-ANON,Tablet,Android,Yes,Purge_Pending,Sensitive
TFL-0000096,Stratford,Piccadilly,2023-02-27,1,48,213.02,TFL-425053-ANON,Mobile,iOS,No,Purged,Public
TFL-0000097,London Bridge,District,2023-03-07,9,44,428.45,TFL-248481-ANON,Laptop,iOS,No,Purged,Public
TFL-0000098,London Bridge,Northern,2023-03-11,3,10,323.18,TFL-661154-ANON,Laptop,Android,Yes,Purged,Public
TFL-0000099,London Bridge,District,2023-07-28,21,23,263.1,TFL-228686-ANON,Tablet,Android,No,Purged,Sensitive
TFL-0000100,Liverpool Street,Circle,2024-12-03,8,71,481.77,TFL-426279-ANON,Laptop,Android,Yes,Purged,Internal
TFL-0000101,Canary Wharf,Central,2024-01-14,18,34,440.59,TFL-764783-ANON,Laptop,Windows,Yes,Purged,Public
TFL-0000102,Paddington,Northern,2023-05-17,18,14,107.12,TFL-315370-ANON,Tablet,macOS,No,Purged,Public
TFL-0000103,Paddington,District,2023-05-30,9,87,434.21,TFL-961289-ANON,Tablet,Android,No,Purged,Public
TFL-0000104,Paddington,Piccadilly,2024-02-02,6,102,337.95,TFL-233289-ANON,Mobile,iOS,Yes,Purge_Pending,Public
TFL-0000105,Waterloo,Central,2023-10-03,5,12,280.23,TFL-652187-ANON,Tablet,iOS,No,Retain,Sensitive
TFL-0000106,Heathrow T1,Victoria,2023-02-13,13,88,14.93,TFL-146131-ANON,Laptop,macOS,Yes,Purged,Internal
TFL-0000107,Stratford,Piccadilly,2023-12-27,1,22,144.59,TFL-436260-ANON,Tablet,iOS,Yes,Purge_Pending,Public
TFL-0000108,Waterloo,Elizabeth,2023-09-09,22,7,327.14,TFL-871877-ANON,Tablet,Windows,No,Retain,Public
TFL-0000109,London Bridge,Victoria,2024-01-18,0,40,40.23,TFL-882580-ANON,Tablet,Windows,No,Retain,Public
TFL-0000110,Victoria,Jubilee,2024-10-17,21,51,420.7,TFL-876383-ANON,Tablet,macOS,Yes,Purge_Pending,Sensitive
TFL-0000111,London Bridge,Central,2024-01-10,13,113,392.13,TFL-687454-ANON,Mobile,Windows,No,Retain,Sensitive
TFL-0000112,Paddington,Circle,2023-01-08,5,74,385.44,TFL-292669-ANON,Mobile,macOS,No,Retain,Internal
TFL-0000113,Heathrow T1,Northern,2024-08-11,11,4,156.2,TFL-300585-ANON,Tablet,Android,No,Purge_Pending,Sensitive
TFL-0000114,Liverpool Street,Northern,2024-10-28,4,31,343.84,TFL-511814-ANON,Tablet,iOS,No,Purged,Public
TFL-0000115,Paddington,Northern,2024-06-14,1,116,481.57,TFL-171797-ANON,Tablet,Windows,No,Purged,Sensitive
TFL-0000116,Canary Wharf,Jubilee,2024-02-25,19,62,22.86,TFL-886038-ANON,Laptop,Android,No,Purge_Pending,Internal
TFL-0000117,Paddington,Northern,2023-02-11,13,71,400.01,TFL-545545-ANON,Tablet,Android,No,Purged,Internal
TFL-0000118,London Bridge,Jubilee,2023-03-20,14,7,28.18,TFL-829666-ANON,Laptop,Windows,Yes,Purged,Sensitive
TFL-0000119,King's Cross,District,2023-07-19,5,2,323.5,TFL-796717-ANON,Mobile,iOS,Yes,Purged,Public
TFL-0000120,Waterloo,Victoria,2024-09-17,13,18,187.63,TFL-304377-ANON,Tablet,Windows,No,Purge_Pending,Sensitive
TFL-0000121,Waterloo,Elizabeth,2023-06-12,15,56,282.37,TFL-222090-ANON,Tablet,macOS,Yes,Purged,Sensitive
TFL-0000122,Liverpool Street,Jubilee,2023-04-20,18,29,273.66,TFL-612392-ANON,Laptop,iOS,No,Purged,Internal
TFL-0000123,Liverpool Street,Jubilee,2024-06-10,18,97,407.26,TFL-801430-ANON,Mobile,Android,Yes,Retain,Sensitive
TFL-0000124,Paddington,Piccadilly,2023-04-19,22,105,47.77,TFL-593964-ANON,Mobile,iOS,No,Retain,Internal
TFL-0000125,Canary Wharf,Circle,2024-10-31,10,4,111.18,TFL-133771-ANON,Laptop,macOS,No,Purged,Public
TFL-0000126,Waterloo,Jubilee,2024-06-08,2,76,189.18,TFL-118793-ANON,Mobile,Android,No,Purge_Pending,Internal
TFL-0000127,Heathrow T1,District,2024-12-16,23,113,226.39,TFL-262209-ANON,Laptop,iOS,Yes,Purged,Internal
TFL-0000128,King's Cross,Central,2023-03-11,18,33,423.36,TFL-445327-ANON,Tablet,iOS,No,Retain,Internal
TFL-0000129,Euston,Jubilee,2023-08-18,3,65,86.64,TFL-947933-ANON,Laptop,Android,Yes,Retain,Public
TFL-0000130,Paddington,Piccadilly,2024-11-04,3,73,359.27,TFL-863814-ANON,Mobile,Windows,No,Retain,Internal
TFL-0000131,Heathrow T1,Central,2023-01-31,20,64,92.45,TFL-833505-ANON,Tablet,macOS,Yes,Purge_Pending,Internal
TFL-0000132,Victoria,Victoria,2024-02-09,15,60,166.18,TFL-987820-ANON,Laptop,Android,No,Purged,Internal
TFL-0000133,Victoria,Central,2024-12-14,6,9,452.17,TFL-404224-ANON,Mobile,Windows,Yes,Purged,Public
TFL-0000134,Canary Wharf,Elizabeth,2024-06-08,12,61,52.41,TFL-253856-ANON,Laptop,iOS,Yes,Purged,Sensitive
TFL-0000135,King's Cross,Central,2023-03-19,14,61,425.68,TFL-150593-ANON,Tablet,iOS,Yes,Purge_Pending,Public
TFL-0000136,Heathrow T1,Northern,2024-12-11,19,78,426.97,TFL-641253-ANON,Mobile,macOS,No,Purged,Sensitive
TFL-0000137,Euston,Elizabeth,2023-10-24,3,108,447.0,TFL-596641-ANON,Laptop,Android,Yes,Purged,Sensitive
TFL-0000138,Victoria,Piccadilly,2023-08-27,2,25,287.27,TFL-192222-ANON,Mobile,Windows,No,Retain,Sensitive
TFL-0000139,Paddington,Circle,2023-11-06,4,67,225.09,TFL-352866-ANON,Mobile,Windows,No,Purged,Sensitive
TFL-0000140,Paddington,Elizabeth,2023-08-29,23,32,273.98,TFL-474682-ANON,Tablet,macOS,Yes,Retain,Internal
TFL-0000141,King's Cross,Victoria,2023-04-09,8,102,102.48,TFL-538177-ANON,Laptop,macOS,No,Retain,Internal
TFL-0000142,London Bridge,Central,2023-02-18,2,105,357.22,TFL-134687-ANON,Mobile,macOS,Yes,Purge_Pending,Sensitive
TFL-0000143,Stratford,Elizabeth,2023-10-30,4,89,449.57,TFL-111248-ANON,Laptop,macOS,Yes,Purge_Pending,Sensitive
TFL-0000144,Victoria,Jubilee,2023-04-19,11,43,107.45,TFL-249936-ANON,Laptop,Android,No,Retain,Internal
TFL-0000145,Heathrow T1,Piccadilly,2023-07-10,2,85,126.79,TFL-442871-ANON,Tablet,Windows,Yes,Purged,Public
TFL-0000146,Stratford,Northern,2024-07-04,15,94,85.97,TFL-952792-ANON,Laptop,macOS,No,Retain,Internal
TFL-0000147,King's Cross,Central,2024-07-24,22,30,482.2,TFL-571525-ANON,Tablet,iOS,Yes,Retain,Sensitive
TFL-0000148,King's Cross,Circle,2023-02-26,19,10,471.76,TFL-961189-ANON,Laptop,Android,Yes,Retain,Internal
TFL-0000149,Liverpool Street,Elizabeth,2023-01-28,1,24,217.63,TFL-145775-ANON,Mobile,iOS,Yes,Purge_Pending,Public
TFL-0000150,Liverpool Street,Circle,2023-09-13,18,41,390.5,TFL-537393-ANON,Laptop,Android,No,Purge_Pending,Public
TFL-0000151,Waterloo,Circle,2024-06-04,3,118,413.23,TFL-113717-ANON,Mobile,iOS,Yes,Retain,Internal
TFL-0000152,Victoria,Circle,2023-05-08,11,119,374.83,TFL-923883-ANON,Laptop,iOS,No,Retain,Sensitive
TFL-0000153,Liverpool Street,Victoria,2023-03-29,15,33,187.75,TFL-458826-ANON,Tablet,iOS,No,Purged,Public
TFL-0000154,Liverpool Street,Circle,2024-11-05,2,31,351.42,TFL-452121-ANON,Mobile,Android,No,Purge_Pending,Internal
TFL-0000155,Paddington,Circle,2023-04-18,9,103,72.31,TFL-544941-ANON,Tablet,macOS,Yes,Purge_Pending,Internal
TFL-0000156,King's Cross,Circle,2024-12-22,9,31,244.44,TFL-343174-ANON,Tablet,Android,No,Retain,Internal
TFL-0000157,Victoria,Piccadilly,2023-02-23,21,48,0.9,TFL-611970-ANON,Laptop,iOS,No,Retain,Public
TFL-0000158,Paddington,Northern,2023-05-16,1,44,122.18,TFL-902846-ANON,Mobile,iOS,No,Retain,Public
TFL-0000159,Liverpool Street,Jubilee,2024-10-23,3,14,344.2,TFL-199290-ANON,Mobile,macOS,Yes,Retain,Sensitive
TFL-0000160,Liverpool Street,Circle,2024-06-01,20,108,349.67,TFL-327137-ANON,Tablet,Android,No,Purged,Internal
TFL-0000161,Waterloo,Jubilee,2024-08-30,12,37,283.26,TFL-832857-ANON,Mobile,Android,No,Purge_Pending,Sensitive
TFL-0000162,Liverpool Street,Jubilee,2024-12-30,21,51,295.3,TFL-156938-ANON,Laptop,Windows,No,Purge_Pending,Sensitive
TFL-0000163,Waterloo,Elizabeth,2024-03-14,20,73,101.18,TFL-260428-ANON,Mobile,iOS,No,Retain,Public
TFL-0000164,King's Cross,Victoria,2023-08-21,23,1,352.91,TFL-374315-ANON,Mobile,macOS,No,Purged,Internal
TFL-0000165,London Bridge,Elizabeth,2024-02-06,2,88,26.75,TFL-564255-ANON,Tablet,iOS,Yes,Purge_Pending,Internal
TFL-0000166,London Bridge,Jubilee,2023-04-10,4,120,447.71,TFL-421894-ANON,Tablet,macOS,Yes,Purge_Pending,Internal
TFL-0000167,Liverpool Street,Central,2024-10-02,11,4,171.46,TFL-551430-ANON,Tablet,iOS,Yes,Retain,Public
TFL-0000168,Victoria,District,2024-02-19,20,109,167.63,TFL-323591-ANON,Tablet,Windows,No,Retain,Internal
TFL-0000169,Victoria,Elizabeth,2023-07-17,6,96,488.77,TFL-462048-ANON,Laptop,iOS,Yes,Retain,Sensitive
TFL-0000170,Paddington,Elizabeth,2024-12-18,5,116,97.29,TFL-706344-ANON,Laptop,macOS,No,Retain,Sensitive
TFL-0000171,Victoria,District,2024-10-28,3,84,386.05,TFL-876554-ANON,Laptop,Windows,Yes,Purged,Public
TFL-0000172,Canary Wharf,Jubilee,2023-09-19,9,13,72.65,TFL-671483-ANON,Laptop,Windows,Yes,Retain,Sensitive
TFL-0000173,Liverpool Street,District,2024-06-14,23,77,486.23,TFL-612130-ANON,Tablet,Android,Yes,Retain,Internal
TFL-0000174,Victoria,Victoria,2024-06-18,13,1,41.81,TFL-382184-ANON,Tablet,iOS,Yes,Purge_Pending,Internal
TFL-0000175,London Bridge,Central,2023-12-18,11,99,306.78,TFL-976172-ANON,Mobile,Android,Yes,Purge_Pending,Public
TFL-0000176,Euston,District,2023-02-08,14,64,465.51,TFL-171438-ANON,Tablet,Windows,Yes,Purge_Pending,Internal
TFL-0000177,Liverpool Street,Circle,2024-07-19,9,60,236.19,TFL-570669-ANON,Laptop,Windows,No,Purged,Sensitive
TFL-0000178,Stratford,Northern,2024-12-23,1,118,386.43,TFL-605330-ANON,Tablet,Android,No,Purged,Internal
TFL-0000179,King's Cross,Elizabeth,2023-10-06,20,9,188.88,TFL-286923-ANON,Tablet,iOS,No,Retain,Internal
TFL-0000180,Stratford,District,2023-01-01,18,117,36.32,TFL-169559-ANON,Tablet,iOS,Yes,Purge_Pending,Public
TFL-0000181,Canary Wharf,Jubilee,2023-11-11,0,59,137.95,TFL-440939-ANON,Laptop,iOS,No,Purge_Pending,Internal
TFL-0000182,Euston,Circle,2023-08-02,22,97,207.22,TFL-267380-ANON,Tablet,macOS,Yes,Purged,Public
TFL-0000183,Victoria,Elizabeth,2024-10-24,14,98,339.09,TFL-733559-ANON,Tablet,macOS,Yes,Purge_Pending,Public
TFL-0000184,Stratford,Elizabeth,2024-01-07,2,27,263.47,TFL-667020-ANON,Mobile,iOS,Yes,Retain,Internal
TFL-0000185,London Bridge,Elizabeth,2024-11-15,17,37,334.46,TFL-987082-ANON,Laptop,Android,Yes,Retain,Sensitive
TFL-0000186,Euston,District,2023-04-10,17,10,252.16,TFL-418323-ANON,Laptop,Android,Yes,Retain,Public
TFL-0000187,Paddington,Circle,2024-07-22,20,41,162.21,TFL-416800-ANON,Mobile,macOS,Yes,Purge_Pending,Internal
TFL-0000188,Paddington,Northern,2024-12-24,5,11,203.93,TFL-197813-ANON,Laptop,Windows,Yes,Purge_Pending,Public
TFL-0000189,Waterloo,Jubilee,2023-07-19,12,64,327.48,TFL-145777-ANON,Tablet,iOS,Yes,Retain,Internal
TFL-0000190,Stratford,Circle,2024-04-11,20,109,351.08,TFL-647109-ANON,Laptop,Android,No,Purged,Public
TFL-0000191,Euston,District,2024-06-08,9,90,371.23,TFL-135824-ANON,Tablet,Windows,Yes,Purge_Pending,Sensitive
TFL-0000192,Victoria,Victoria,2023-07-02,11,108,123.75,TFL-111547-ANON,Mobile,Android,Yes,Purged,Sensitive
TFL-0000193,Liverpool Street,Northern,2023-04-09,23,35,328.59,TFL-867451-ANON,Laptop,iOS,Yes,Purged,Internal
TFL-0000194,Paddington,Central,2023-04-20,15,87,45.87,TFL-125728-ANON,Laptop,iOS,Yes,Purged,Internal
TFL-0000195,Paddington,Circle,2024-06-17,14,9,372.32,TFL-441283-ANON,Laptop,Android,No,Retain,Internal
TFL-0000196,Liverpool Street,District,2023-06-29,8,91,125.19,TFL-465032-ANON,Mobile,Android,No,Purged,Internal
TFL-0000197,Euston,Piccadilly,2023-10-12,15,117,248.29,TFL-413343-ANON,Mobile,Android,No,Purged,Sensitive
TFL-0000198,London Bridge,Piccadilly,2023-12-03,17,25,490.17,TFL-915926-ANON,Mobile,Windows,No,Retain,Internal
TFL-0000199,Liverpool Street,Northern,2023-02-17,0,36,174.68,TFL-365314-ANON,Mobile,Windows,Yes,Purge_Pending,Internal
TFL-0000200,London Bridge,District,2024-08-12,14,42,43.64,TFL-836744-ANON,Laptop,iOS,Yes,Purge_Pending,Public
TFL-0000201,Paddington,Central,2024-11-20,23,118,63.88,TFL-503391-ANON,Laptop,macOS,No,Purge_Pending,Sensitive
TFL-0000202,Heathrow T1,Victoria,2023-02-21,9,103,340.69,TFL-812709-ANON,Laptop,macOS,Yes,Purged,Public
TFL-0000203,London Bridge,Circle,2024-08-31,14,28,115.14,TFL-912644-ANON,Mobile,macOS,Yes,Purge_Pending,Sensitive
TFL-0000204,Heathrow T1,District,2024-01-16,4,11,417.91,TFL-319129-ANON,Tablet,macOS,Yes,Purge_Pending,Sensitive
TFL-0000205,King's Cross,Northern,2023-06-18,4,59,263.05,TFL-887044-ANON,Tablet,Android,Yes,Retain,Internal
TFL-0000206,Waterloo,District,2024-10-10,15,98,64.72,TFL-801598-ANON,Laptop,Windows,Yes,Purged,Sensitive
TFL-0000207,Stratford,Northern,2024-12-21,11,46,7.11,TFL-700216-ANON,Mobile,Windows,No,Purge_Pending,Public
TFL-0000208,Victoria,District,2023-05-02,7,51,33.05,TFL-405471-ANON,Tablet,Android,No,Purge_Pending,Public
TFL-0000209,Paddington,Northern,2023-12-20,17,18,18.35,TFL-593964-ANON,Laptop,iOS,Yes,Purged,Internal
TFL-0000210,King's Cross,Central,2024-09-29,19,53,365.17,TFL-619134-ANON,Tablet,Android,Yes,Purge_Pending,Internal
