record_id,state,county,census_block,provider_id,provider_name,technology_code,technology_name,max_down_mbps,max_up_mbps,consumer,business,low_income_area,rural_flag,population_served,median_income,report_date
FCC-0000039,WA,County_87,680448089,PRVDR-847,T-Mobile,10,DSL,250,25,0,1,0,1,37727,126542,2024-01-15
FCC-0000040,TX,County_31,202838698,PRVDR-310,Verizon,300,LTE,500,25,1,0,1,1,41175,29885,2024-04-16
FCC-0000041,MI,County_2,495715637,PRVDR-229,T-Mobile,40,Cable,100,3,0,1,0,0,221,68677,2024-05-21
FCC-0000042,NJ,County_23,269140695,PRVDR-840,Optimum,50,Fiber,500,10,1,1,1,1,36881,33760,2023-01-05
FCC-0000043,NC,County_35,178996147,PRVDR-493,T-Mobile,301,5G NR,250,50,0,0,0,1,37737,79490,2024-11-30
FCC-0000044,TX,County_85,357817886,PRVDR-349,AT&T,10,DSL,100,25,0,1,0,1,3675,140790,2023-10-08
FCC-0000045,FL,County_14,938094858,PRVDR-696,AT&T,301,5G NR,1000,5,1,0,1,1,22990,47179,2024-07-04
FCC-0000046,TX,County_97,447466455,PRVDR-373,AT&T,50,Fiber,25,5,1,1,0,0,11207,115171,2024-01-17
FCC-0000047,VA,County_10,980780478,PRVDR-547,T-Mobile,50,Fiber,500,25,1,1,0,0,25960,81161,2024-05-19
FCC-0000048,FL,County_53,983033463,PRVDR-227,Optimum,40,Cable,500,3,1,1,0,1,22203,52568,2024-01-12
FCC-0000049,NC,County_19,489263480,PRVDR-626,Spectrum,301,5G NR,1000,25,1,1,0,1,20781,51402,2024-07-15
FCC-0000050,PA,County_79,104068743,PRVDR-109,Optimum,40,Cable,25,5,1,1,0,0,1787,137838,2024-05-29
FCC-0000051,NJ,County_88,244354864,PRVDR-875,Verizon,70,Fixed Wireless,1000,3,1,0,0,1,13663,67531,2024-01-26
FCC-0000052,NY,County_39,559817167,PRVDR-405,T-Mobile,40,Cable,500,3,0,0,0,1,48619,68029,2024-08-06
FCC-0000053,OH,County_80,577949997,PRVDR-964,AT&T,10,DSL,250,10,0,1,1,0,16540,34440,2023-12-15
FCC-0000054,WA,County_6,312401071,PRVDR-869,AT&T,301,5G NR,100,3,1,1,0,1,36262,95757,2023-08-18
FCC-0000055,OH,County_50,292929982,PRVDR-101,Verizon,40,Cable,1000,3,0,0,1,1,44275,36826,2023-02-03
FCC-0000056,NC,County_40,784204653,PRVDR-638,AT&T,301,5G NR,25,25,0,1,0,0,39527,132901,2024-12-21
FCC-0000057,CA,County_55,916178664,PRVDR-913,T-Mobile,10,DSL,25,3,1,0,0,0,45789,72387,2024-01-10
FCC-0000058,WA,County_49,534384581,PRVDR-404,T-Mobile,300,LTE,50,25,1,0,0,1,46706,85643,2024-08-05
FCC-0000059,FL,County_54,902978128,PRVDR-424,Spectrum,50,Fiber,100,10,0,0,0,0,20118,133135,2024-10-30
FCC-0000060,IL,County_41,499663135,PRVDR-203,AT&T,70,Fixed Wireless,100,25,0,1,0,1,2387,120823,2024-06-22
FCC-0000061,MA,County_1,864181652,PRVDR-875,Verizon,50,Fiber,1000,10,1,1,0,0,23450,149406,2023-07-06
FCC-0000062,AZ,County_84,384676925,PRVDR-968,Verizon,50,Fiber,50,50,0,0,0,1,35424,129250,2024-11-06
FCC-0000063,MI,County_26,158138274,PRVDR-102,Verizon,300,LTE,25,25,1,0,0,1,36172,119697,2023-11-02
FCC-0000064,PA,County_66,223040210,PRVDR-125,Spectrum,10,DSL,25,3,0,0,0,1,9272,96602,2024-12-24
FCC-0000065,NY,County_84,105952017,PRVDR-917,Spectrum,300,LTE,250,10,0,1,0,1,49764,88701,2024-03-02
FCC-0000066,NJ,County_66,818155047,PRVDR-100,T-Mobile,10,DSL,500,100,0,0,0,0,26240,145177,2023-09-16
FCC-0000067,NJ,County_80,289718883,PRVDR-698,Optimum,40,Cable,500,100,0,1,0,1,20276,138691,2023-08-22
FCC-0000068,PA,County_67,715616701,PRVDR-779,Verizon,300,LTE,25,10,0,0,0,1,17837,84534,2023-05-05
FCC-0000069,TX,County_8,590039615,PRVDR-228,AT&T,301,5G NR,25,50,0,0,0,1,177,93751,2024-06-28
FCC-0000070,GA,County_51,352681173,PRVDR-406,Spectrum,40,Cable,100,10,0,1,0,1,24515,94080,2023-12-16
FCC-0000071,GA,County_70,911409157,PRVDR-568,Spectrum,300,LTE,500,50,0,0,0,0,41149,105881,2024-01-13
FCC-0000072,FL,County_55,364406305,PRVDR-111,Optimum,10,DSL,500,5,1,0,1,0,45825,36223,2024-03-10
FCC-0000073,WA,County_74,291490027,PRVDR-585,Optimum,301,5G NR,100,10,0,0,0,1,34423,130901,2023-06-23
FCC-0000074,CA,County_31,486647469,PRVDR-922,Verizon,300,LTE,250,50,0,1,0,1,30095,72828,2024-06-20
FCC-0000075,NC,County_44,496185764,PRVDR-214,Verizon,300,LTE,500,50,1,1,1,1,2996,30707,2023-07-09
FCC-0000076,NY,County_50,689886451,PRVDR-719,T-Mobile,70,Fixed Wireless,100,10,1,1,0,1,13921,78791,2024-01-05
FCC-0000077,MI,County_12,734143640,PRVDR-382,T-Mobile,50,Fiber,1000,5,1,0,0,0,32279,140592,2023-03-27
FCC-0000078,MA,County_4,479279223,PRVDR-940,T-Mobile,300,LTE,50,10,0,1,0,1,4193,64216,2024-10-12
FCC-0000079,IL,County_95,797535479,PRVDR-314,AT&T,70,Fixed Wireless,250,5,1,1,0,0,34617,86818,2024-06-01
FCC-0000080,CA,County_2,721795836,PRVDR-865,AT&T,70,Fixed Wireless,1000,5,0,1,0,0,18971,103615,2023-05-22
FCC-0000081,MA,County_62,407965510,PRVDR-661,Spectrum,300,LTE,25,25,1,0,0,0,26154,80148,2024-04-16
FCC-0000082,MI,County_11,280497931,PRVDR-156,Optimum,300,LTE,50,50,0,1,0,0,45958,103105,2023-06-24
FCC-0000083,AZ,County_54,605144590,PRVDR-935,Verizon,50,Fiber,50,25,1,1,0,1,28412,85478,2024-01-05
FCC-0000084,NC,County_99,561213392,PRVDR-298,Verizon,40,Cable,250,5,0,1,0,0,1658,87820,2024-01-04
FCC-0000085,AZ,County_75,463984648,PRVDR-588,Optimum,301,5G NR,1000,5,1,0,1,1,35318,26658,2024-08-05
FCC-0000086,GA,County_25,856915168,PRVDR-774,Spectrum,301,5G NR,500,50,1,0,1,0,11486,36635,2023-04-09
FCC-0000087,MI,County_58,731191505,PRVDR-137,T-Mobile,300,LTE,50,5,1,1,1,1,6197,46207,2023-01-15
FCC-0000088,GA,County_72,233910754,PRVDR-396,T-Mobile,70,Fixed Wireless,50,50,1,1,0,1,46510,107090,2024-03-15
FCC-0000089,MI,County_89,383649860,PRVDR-859,Spectrum,10,DSL,1000,10,1,0,0,0,12223,145501,2023-02-13
FCC-0000090,VA,County_17,404614277,PRVDR-520,AT&T,70,Fixed Wireless,500,100,1,0,1,1,46273,41822,2023-09-29
FCC-0000091,NC,County_66,127436809,PRVDR-174,Spectrum,70,Fixed Wireless,250,5,1,0,0,1,42500,104033,2024-04-12
FCC-0000092,FL,County_68,947190262,PRVDR-665,T-Mobile,70,Fixed Wireless,50,3,1,1,1,1,28848,38727,2023-01-12
FCC-0000093,MA,County_81,677339703,PRVDR-191,Verizon,10,DSL,50,3,1,0,0,0,13580,84872,2023-05-01
FCC-0000094,VA,County_28,453416776,PRVDR-335,T-Mobile,40,Cable,500,5,1,0,0,1,5518,89177,2024-11-30
FCC-0000095,CA,County_52,203636434,PRVDR-901,T-Mobile,10,DSL,1000,50,1,0,0,0,27078,76864,2023-12-14
FCC-0000096,WA,County_44,239094915,PRVDR-286,AT&T,40,Cable,25,10,0,1,0,0,22451,119035,2024-06-12
FCC-0000097,NC,County_5,146293149,PRVDR-450,Spectrum,70,Fixed Wireless,250,25,1,0,0,0,42261,73282,2024-11-02
FCC-0000098,VA,County_99,949241194,PRVDR-261,Optimum,40,Cable,250,100,0,0,0,1,43311,97644,2023-01-09
FCC-0000099,MA,County_97,366299446,PRVDR-613,Spectrum,70,Fixed Wireless,50,3,1,1,1,0,968,38509,2024-11-07
FCC-0000100,GA,County_26,762439725,PRVDR-575,Verizon,70,Fixed Wireless,500,25,1,0,0,0,44989,113999,2023-08-10
FCC-0000101,IL,County_62,376508926,PRVDR-459,T-Mobile,301,5G NR,250,50,0,1,0,0,48408,57152,2024-01-06
FCC-0000102,OH,County_73,229266454,PRVDR-659,AT&T,301,5G NR,50,100,1,1,0,0,15283,77896,2023-02-05
FCC-0000103,TX,County_53,943464672,PRVDR-279,AT&T,70,Fixed Wireless,50,5,0,1,0,0,20453,114669,2023-11-19
FCC-0000104,WA,County_25,145999925,PRVDR-572,AT&T,10,DSL,25,100,0,1,1,1,2929,49587,2023-09-26
FCC-0000105,NJ,County_15,848016016,PRVDR-746,Spectrum,50,Fiber,250,25,1,1,0,0,39918,119367,2023-04-15
FCC-0000106,NY,County_54,356837469,PRVDR-878,Optimum,70,Fixed Wireless,1000,5,0,1,0,1,35342,65702,2024-11-02
FCC-0000107,FL,County_49,835922897,PRVDR-232,Spectrum,50,Fiber,100,50,0,0,0,0,30715,143564,2023-03-05
FCC-0000108,WA,County_33,843740583,PRVDR-638,Verizon,301,5G NR,50,5,0,0,0,0,23349,60350,2024-08-22
FCC-0000109,AZ,County_76,969119839,PRVDR-202,Verizon,300,LTE,250,10,0,0,0,0,24343,66945,2023-02-22
FCC-0000110,NY,County_47,741376416,PRVDR-345,AT&T,50,Fiber,100,50,0,1,1,1,17576,39132,2024-01-13
FCC-0000111,TX,County_38,769679835,PRVDR-683,T-Mobile,40,Cable,500,50,0,1,0,0,43290,73232,2023-11-29
FCC-0000112,NC,County_32,319495346,PRVDR-857,AT&T,301,5G NR,500,50,1,1,0,1,31093,131162,2023-01-23
FCC-0000113,MI,County_94,740136825,PRVDR-418,T-Mobile,40,Cable,250,10,0,1,0,0,5413,89971,2024-07-30
FCC-0000114,MA,County_47,606720823,PRVDR-850,Spectrum,70,Fixed Wireless,25,3,0,0,0,0,18851,123822,2024-01-21
FCC-0000115,MI,County_18,473680042,PRVDR-370,T-Mobile,301,5G NR,50,50,0,0,1,0,19010,43908,2024-12-08
FCC-0000116,PA,County_62,134247803,PRVDR-900,AT&T,10,DSL,25,50,1,1,0,0,19339,70283,2023-06-02
FCC-0000117,OH,County_11,976432251,PRVDR-878,AT&T,50,Fiber,250,25,0,1,0,1,30241,120529,2023-12-28
FCC-0000118,CA,County_44,101677363,PRVDR-885,Verizon,50,Fiber,50,50,0,1,0,1,1677,146873,2023-01-14
FCC-0000119,AZ,County_17,514703138,PRVDR-820,T-Mobile,40,Cable,1000,3,0,0,0,1,39398,126560,2023-05-24
FCC-0000120,AZ,County_49,874590652,PRVDR-834,Spectrum,300,LTE,250,25,1,0,0,0,2341,109553,2023-10-01
FCC-0000121,MI,County_79,614801383,PRVDR-450,Spectrum,300,LTE,500,50,1,1,0,0,34492,66173,2024-08-29
FCC-0000122,NJ,County_40,313562397,PRVDR-407,Optimum,40,Cable,1000,50,1,0,0,0,20354,107800,2024-12-11
FCC-0000123,NC,County_15,947229465,PRVDR-673,Spectrum,300,LTE,1000,5,0,0,1,1,34004,44613,2023-01-31
FCC-0000124,NJ,County_81,786875295,PRVDR-867,Spectrum,40,Cable,50,5,1,1,0,1,19219,61535,2024-09-09
FCC-0000125,MA,County_23,479793361,PRVDR-780,AT&T,10,DSL,1000,50,0,0,0,1,48341,91773,2023-11-16
FCC-0000126,AZ,County_28,618177605,PRVDR-968,Spectrum,300,LTE,250,10,1,1,0,0,27725,111081,2024-12-07
FCC-0000127,NY,County_83,221891928,PRVDR-674,T-Mobile,300,LTE,250,3,0,0,0,1,7323,131128,2024-06-24
FCC-0000128,CA,County_84,504513040,PRVDR-473,Spectrum,70,Fixed Wireless,500,5,0,1,0,1,16343,85109,2023-03-29
FCC-0000129,AZ,County_35,409781433,PRVDR-615,Optimum,40,Cable,250,100,1,0,1,0,42713,29083,2023-07-08
FCC-0000130,GA,County_69,831456974,PRVDR-639,Verizon,50,Fiber,500,5,1,1,1,1,4313,49599,2023-06-11
FCC-0000131,VA,County_33,882605534,PRVDR-608,Optimum,301,5G NR,500,5,1,1,0,1,39502,59723,2024-04-21
FCC-0000132,FL,County_73,866116483,PRVDR-103,Verizon,40,Cable,250,3,0,1,0,1,46194,141656,2023-09-22
FCC-0000133,CA,County_84,987353575,PRVDR-174,Optimum,301,5G NR,500,5,0,0,0,1,45801,73450,2023-06-12
FCC-0000134,NC,County_4,799376922,PRVDR-479,Verizon,50,Fiber,25,10,0,1,0,0,26835,113084,2023-05-08
FCC-0000135,PA,County_5,736415601,PRVDR-630,T-Mobile,40,Cable,100,50,0,0,0,0,41839,112974,2023-02-28
FCC-0000136,NJ,County_81,643516725,PRVDR-282,Spectrum,70,Fixed Wireless,1000,100,1,1,1,1,18436,36088,2024-03-20
FCC-0000137,NJ,County_40,679815085,PRVDR-635,T-Mobile,50,Fiber,1000,5,1,1,1,0,175,28106,2024-02-03
FCC-0000138,TX,County_26,792090664,PRVDR-237,Spectrum,40,Cable,100,100,1,0,0,1,9413,117866,2024-04-04
FCC-0000139,IL,County_59,161673301,PRVDR-669,T-Mobile,10,DSL,50,50,1,0,0,0,11948,142767,2023-01-13
FCC-0000140,MA,County_95,489664839,PRVDR-863,Verizon,50,Fiber,250,5,1,0,1,0,45257,29617,2023-12-26
FCC-0000141,PA,County_8,463482558,PRVDR-839,Optimum,10,DSL,50,3,1,1,0,0,33334,63254,2024-06-02
FCC-0000142,PA,County_68,429835617,PRVDR-453,Verizon,40,Cable,100,3,1,0,1,1,8171,44552,2023-12-10
FCC-0000143,CA,County_56,504117673,PRVDR-945,AT&T,50,Fiber,50,10,0,0,0,1,13812,144394,2023-04-16
FCC-0000144,MI,County_42,944435443,PRVDR-653,AT&T,10,DSL,50,25,0,1,0,1,44600,59018,2023-02-06
FCC-0000145,MA,County_90,711155835,PRVDR-375,Optimum,10,DSL,50,5,0,0,0,0,13554,123868,2024-05-28
FCC-0000146,CA,County_100,222922655,PRVDR-260,AT&T,50,Fiber,1000,3,1,1,0,1,5440,58687,2023-06-28
FCC-0000147,GA,County_35,391228335,PRVDR-635,T-Mobile,40,Cable,500,100,1,1,0,1,20462,52533,2023-10-20
FCC-0000148,MI,County_42,341376325,PRVDR-672,T-Mobile,70,Fixed Wireless,100,5,0,0,0,0,29805,56725,2023-05-26
FCC-0000149,VA,County_65,298472016,PRVDR-607,Optimum,70,Fixed Wireless,1000,10,1,0,1,0,37505,48886,2024-09-22
FCC-0000150,AZ,County_92,399398323,PRVDR-252,T-Mobile,301,5G NR,25,25,0,1,1,1,10747,39490,2023-04-05
FCC-0000151,PA,County_52,414620528,PRVDR-896,Optimum,40,Cable,25,3,0,1,0,0,38992,61100,2023-03-19
FCC-0000152,NC,County_1,721830539,PRVDR-303,Spectrum,50,Fiber,25,3,0,1,0,1,43264,94365,2023-06-10
FCC-0000153,TX,County_93,238908554,PRVDR-663,AT&T,40,Cable,50,10,1,0,0,0,7012,143233,2023-05-29
FCC-0000154,CA,County_52,698687038,PRVDR-653,Verizon,10,DSL,100,10,0,0,1,0,5088,27834,2024-09-19
FCC-0000155,NC,County_83,787782550,PRVDR-509,Verizon,50,Fiber,1000,5,1,0,0,1,26219,114140,2024-02-29
FCC-0000156,TX,County_78,394410965,PRVDR-322,Optimum,40,Cable,25,50,0,0,0,0,46508,60954,2023-05-22
FCC-0000157,OH,County_11,615513256,PRVDR-453,AT&T,10,DSL,25,25,1,0,1,1,49031,30794,2023-11-02
FCC-0000158,WA,County_29,668816806,PRVDR-941,AT&T,50,Fiber,100,25,1,1,0,1,13141,99493,2024-09-05
FCC-0000159,MI,County_13,907801134,PRVDR-521,Optimum,50,Fiber,1000,100,0,0,1,1,31570,35247,2023-05-27
FCC-0000160,TX,County_82,443163134,PRVDR-823,T-Mobile,70,Fixed Wireless,25,50,1,0,0,1,6317,118564,2024-04-20
FCC-0000161,NJ,County_53,919864320,PRVDR-625,Optimum,70,Fixed Wireless,100,25,1,1,0,0,31451,135673,2024-03-22
FCC-0000162,MA,County_93,882491947,PRVDR-453,Optimum,300,LTE,500,100,1,1,0,0,10334,147632,2024-03-14
FCC-0000163,MI,County_71,628420722,PRVDR-493,T-Mobile,50,Fiber,50,50,0,1,0,1,34698,86133,2023-12-09
FCC-0000164,IL,County_51,648057563,PRVDR-144,Verizon,300,LTE,500,3,0,1,1,0,18744,47480,2023-06-28
FCC-0000165,MA,County_14,752070307,PRVDR-118,Verizon,40,Cable,250,10,0,0,0,0,13838,109611,2024-01-11
FCC-0000166,TX,County_98,326761306,PRVDR-150,Verizon,301,5G NR,250,100,0,0,0,0,1120,119628,2024-08-24
FCC-0000167,AZ,County_42,560939070,PRVDR-291,Spectrum,10,DSL,1000,100,1,1,0,0,44072,68568,2023-11-12
FCC-0000168,FL,County_92,343503254,PRVDR-475,Optimum,50,Fiber,250,10,0,0,0,0,15309,72265,2023-01-22
FCC-0000169,MI,County_74,689794733,PRVDR-903,AT&T,10,DSL,25,25,1,0,0,1,11147,85405,2024-11-20
FCC-0000170,FL,County_39,259994853,PRVDR-369,Spectrum,70,Fixed Wireless,250,5,1,1,0,1,8192,130548,2024-08-05
FCC-0000171,NJ,County_79,596492026,PRVDR-934,Verizon,300,LTE,25,50,0,1,0,0,33540,91931,2024-12-15
FCC-0000172,NY,County_2,387611607,PRVDR-772,Spectrum,50,Fiber,500,100,1,0,0,1,22930,71696,2024-10-19
FCC-0000173,TX,County_2,894821460,PRVDR-378,T-Mobile,301,5G NR,100,25,0,1,0,0,19147,109272,2023-09-15
FCC-0000174,FL,County_92,185132795,PRVDR-794,Optimum,70,Fixed Wireless,500,5,0,1,0,0,15719,121152,2023-08-11
FCC-0000175,WA,County_76,175589819,PRVDR-929,Verizon,40,Cable,50,50,1,0,1,1,31271,46193,2023-04-01
FCC-0000176,FL,County_66,602538682,PRVDR-960,Spectrum,40,Cable,100,100,0,1,1,1,2270,47478,2023-10-26
FCC-0000177,PA,County_4,895200262,PRVDR-606,T-Mobile,70,Fixed Wireless,250,5,0,0,0,1,23135,104013,2024-09-22
FCC-0000178,WA,County_15,912412996,PRVDR-545,Verizon,10,DSL,100,50,0,0,1,0,19355,33947,2023-09-15
FCC-0000179,OH,County_57,532129647,PRVDR-749,Spectrum,301,5G NR,25,50,1,0,0,0,47880,100060,2023-07-08
FCC-0000180,NJ,County_90,859776186,PRVDR-203,AT&T,40,Cable,1000,3,0,1,0,0,34628,92516,2023-04-24
FCC-0000181,AZ,County_90,360832477,PRVDR-782,T-Mobile,300,LTE,50,5,1,1,1,0,12125,32371,2024-03-08
FCC-0000182,MI,County_32,922212968,PRVDR-917,Spectrum,70,Fixed Wireless,1000,50,1,0,0,1,13861,76532,2024-11-26
FCC-0000183,MA,County_43,432564655,PRVDR-825,T-Mobile,300,LTE,25,3,1,0,0,0,49971,147742,2023-08-19
FCC-0000184,WA,County_36,464977430,PRVDR-738,AT&T,50,Fiber,1000,100,1,1,0,1,24848,67444,2023-07-04
FCC-0000185,PA,County_69,420575800,PRVDR-531,Verizon,300,LTE,50,3,0,1,0,1,18423,75915,2024-02-17
FCC-0000186,NJ,County_32,330291580,PRVDR-877,Optimum,40,Cable,250,25,0,1,0,0,39912,127425,2024-06-04
FCC-0000187,NY,County_74,497800665,PRVDR-282,Optimum,50,Fiber,25,100,1,1,1,1,618,36196,2023-04-29
FCC-0000188,MA,County_24,563877913,PRVDR-886,AT&T,300,LTE,250,25,1,1,0,0,47460,124458,2024-07-24
FCC-0000189,AZ,County_75,289938647,PRVDR-972,AT&T,10,DSL,1000,100,0,1,0,0,41744,52361,2023-11-07
FCC-0000190,FL,County_39,847987090,PRVDR-843,Verizon,50,Fiber,1000,100,0,1,1,0,13528,42621,2023-02-05
FCC-0000191,NJ,County_61,676944618,PRVDR-872,AT&T,10,DSL,100,10,0,0,0,1,2518,112082,2024-06-20
FCC-0000192,AZ,County_98,322318116,PRVDR-307,Optimum,10,DSL,25,10,0,1,1,0,35271,45419,2024-09-25
FCC-0000193,VA,County_4,145197301,PRVDR-144,Spectrum,50,Fiber,1000,100,0,0,1,0,11236,48010,2023-10-30
FCC-0000194,GA,County_91,583463453,PRVDR-412,Optimum,300,LTE,500,50,1,0,0,0,29577,74459,2024-10-07
FCC-0000195,NC,County_24,670821575,PRVDR-476,Spectrum,10,DSL,1000,5,0,0,0,1,35503,72173,2024-08-13
FCC-0000196,AZ,County_38,801947144,PRVDR-537,T-Mobile,70,Fixed Wireless,500,10,0,1,0,1,23201,134463,2024-05-24
FCC-0000197,PA,County_7,490696594,PRVDR-734,Spectrum,40,Cable,500,10,1,0,1,0,10218,26693,2023-04-04
FCC-0000198,PA,County_94,363410576,PRVDR-181,T-Mobile,40,Cable,1000,25,1,1,0,0,6863,141939,2024-03-21
FCC-0000199,VA,County_6,518486986,PRVDR-822,T-Mobile,50,Fiber,1000,3,1,1,0,1,44513,110412,2023-05-04
FCC-0000200,TX,County_4,718245889,PRVDR-797,Spectrum,301,5G NR,500,100,0,1,0,0,42042,52526,2024-08-17
FCC-0000201,PA,County_22,838771310,PRVDR-466,T-Mobile,70,Fixed Wireless,1000,25,0,0,0,1,16289,106432,2023-03-18
FCC-0000202,WA,County_14,677578656,PRVDR-382,Spectrum,301,5G NR,50,3,1,1,1,0,25222,26330,2023-05-24
FCC-0000203,AZ,County_13,847879731,PRVDR-187,Verizon,300,LTE,500,5,0,0,0,0,38445,147630,2024-02-25
FCC-0000204,PA,County_13,625219438,PRVDR-448,Verizon,300,LTE,50,25,0,1,0,1,18104,144797,2024-06-01
FCC-0000205,GA,County_2,488719610,PRVDR-782,Verizon,10,DSL,25,5,1,0,0,0,22983,143597,2023-03-06
FCC-0000206,OH,County_16,464597545,PRVDR-828,Optimum,50,Fiber,500,50,1,0,0,0,25075,101283,2023-10-20
FCC-0000207,FL,County_84,694022648,PRVDR-470,Spectrum,40,Cable,250,5,1,1,0,1,42148,98085,2023-10-28
FCC-0000208,PA,County_63,262770135,PRVDR-845,Verizon,10,DSL,500,50,1,0,0,0,22010,87685,2023-03-09
FCC-0000209,VA,County_76,902591835,PRVDR-752,Verizon,40,Cable,25,100,0,0,0,1,8693,140338,2024-04-24
FCC-0000210,TX,County_2,961835148,PRVDR-301,Optimum,10,DSL,50,100,0,1,0,0,29901,98841,2024-10-22
FCC-0000211,NJ,County_78,901329209,PRVDR-132,Spectrum,301,5G NR,500,25,1,1,0,0,40462,87806,2024-04-05
FCC-0000212,FL,County_16,827513473,PRVDR-581,Spectrum,10,DSL,50,3,0,1,0,0,28351,103805,2024-05-04
