reading_id,sensor_id,sensor_type,zone,latitude,longitude,timestamp,temperature_c,humidity_pct,traffic_count,pedestrian_count,energy_kwh,water_liters,air_quality_index,noise_db,parking_occupancy_pct,battery_pct,signal_strength_dbm,anomaly_flag,data_quality_score
IOT-0000037,SENS-0476,energy,Industrial,40.632789,-74.228468,2024-05-22 07:10:27,23.12,24.2,17,144,47.344,879.7,264,62.9,4.6,70.3,-69,1,0.75
IOT-0000038,SENS-0378,temperature,Government,40.876761,-74.044087,2023-09-08 07:24:43,14.64,57.5,393,132,41.505,246.0,90,40.5,21.3,90.9,-54,0,0.81
IOT-0000039,SENS-0083,water,Mixed Use,40.643953,-74.004374,2024-09-09 23:32:54,15.54,92.3,249,163,31.673,712.1,79,45.4,49.3,35.6,-81,0,0.84
IOT-0000040,SENS-0079,pedestrian,Restricted,40.526545,-74.006698,2023-09-13 04:37:31,9.44,77.8,385,117,6.95,868.5,109,80.5,40.5,67.3,-59,0,0.98
IOT-0000041,SENS-0426,energy,Transit,40.622703,-73.977531,2023-01-14 09:03:47,17.88,29.1,184,181,22.234,99.1,206,78.1,41.8,38.8,-44,1,0.9
IOT-0000042,SENS-0194,pedestrian,Mixed Use,40.573583,-74.22109,2024-12-25 09:48:59,20.48,78.8,443,66,21.735,307.0,6,48.2,11.2,26.1,-57,0,0.95
IOT-0000043,SENS-0051,water,Mixed Use,40.782766,-74.089732,2023-02-02 05:37:02,19.04,29.4,255,7,15.408,778.9,258,89.4,32.7,96.1,-85,1,0.99
IOT-0000044,SENS-0316,temperature,Mixed Use,40.525936,-74.087357,2024-08-30 06:13:55,16.88,45.7,-1,154,0.29,659.7,288,86.6,34.5,31.7,-107,1,0.84
IOT-0000045,SENS-0413,water,Green,40.741449,-73.7034,2024-04-20 22:05:55,,35.8,393,182,35.424,408.6,167,81.2,83.9,68.8,-108,0,0.91
IOT-0000046,SENS-0278,parking,Commercial,40.725994,-74.044507,2024-06-20 11:24:42,32.67,72.7,454,71,0.989,169.9,,98.6,81.6,86.6,-85,0,0.83
IOT-0000047,SENS-0084,pedestrian,Transit,40.82969,-73.925387,2023-07-27 01:12:54,10.88,43.9,-1,179,39.534,519.3,53,75.8,64.8,31.5,-103,1,0.97
IOT-0000048,SENS-0093,air_quality,Mixed Use,40.607863,-73.987625,2024-12-23 04:59:05,15.6,37.2,310,4,28.077,939.8,228,100.3,44.2,82.1,-59,1,0.82
IOT-0000049,SENS-0331,water,Green,40.817788,-73.83618,2023-03-11 15:13:09,15.71,24.8,164,199,11.019,665.3,208,62.3,22.4,75.9,-58,1,0.64
IOT-0000050,SENS-0281,water,Commercial,40.755688,-73.712511,2023-06-04 01:29:55,7.15,35.2,417,81,37.392,17.6,23,60.0,63.4,34.4,-69,0,0.95
IOT-0000051,SENS-0180,pedestrian,Green,40.500229,-73.874282,2023-10-15 21:47:26,22.09,61.8,309,67,39.59,561.7,11,75.5,35.8,44.1,-109,0,0.88
IOT-0000052,SENS-0203,energy,Green,40.560019,-74.016138,2023-10-28 08:49:07,24.16,24.2,-1,1,18.231,91.7,122,96.0,76.7,18.0,-101,1,0.65
IOT-0000053,SENS-0435,temperature,Green,40.595516,-73.780843,2024-07-24 04:28:34,6.05,66.3,67,179,10.472,390.3,123,43.9,76.7,51.2,-83,0,0.8
IOT-0000054,SENS-0057,air_quality,Commercial,40.824174,-73.945879,2024-03-14 12:01:29,16.21,,146,119,10.223,584.2,208,70.3,12.7,48.8,-51,1,0.81
IOT-0000055,SENS-0010,parking,Government,40.627936,-74.02975,2023-07-27 10:10:15,-2.59,63.9,225,95,34.455,434.2,193,34.8,54.8,56.1,-58,0,0.9
IOT-0000056,SENS-0396,water,Transit,40.732974,-74.084267,2023-11-03 10:35:54,18.38,70.1,43,109,43.6,960.7,144,47.8,10.8,78.6,-105,0,0.93
IOT-0000057,SENS-0077,noise,Residential,40.859363,-74.114217,2024-09-23 02:38:29,24.49,53.6,80,,22.876,962.6,19,81.2,40.5,29.1,-96,0,0.71
IOT-0000058,SENS-0134,traffic,Mixed Use,40.885007,-73.91533,2024-05-23 16:06:47,27.12,26.6,182,82,19.146,534.6,43,93.5,42.8,90.3,-56,0,0.76
IOT-0000059,SENS-0269,air_quality,Residential,40.6174,-73.916205,2023-11-11 12:29:09,28.73,,264,67,12.966,811.9,279,92.4,97.7,75.1,-85,1,0.77
IOT-0000060,SENS-0135,traffic,Restricted,40.582459,-74.169617,2023-11-30 00:45:29,10.8,79.3,357,21,31.297,922.8,109,92.0,58.5,86.2,-69,0,0.96
IOT-0000061,SENS-0046,temperature,Transit,40.777011,-74.005922,2024-01-03 20:37:39,15.0,52.5,344,98,22.402,119.1,104,31.6,3.5,91.4,-67,0,0.83
IOT-0000062,SENS-0263,energy,Commercial,40.58017,-74.137209,2024-08-12 10:50:21,21.83,23.6,382,34,15.261,121.2,44,58.7,65.6,9.5,-96,0,0.76
IOT-0000063,SENS-0419,air_quality,Residential,40.745282,-74.087056,2024-01-22 07:56:19,10.79,82.5,218,36,42.635,544.8,273,31.0,61.6,60.8,-62,1,0.96
IOT-0000064,SENS-0166,noise,Transit,40.729091,-73.703526,2023-04-20 16:56:52,37.87,47.6,128,107,37.691,121.9,227,95.3,7.9,18.4,-93,1,0.69
IOT-0000065,SENS-0141,parking,Transit,40.615582,-73.71638,2023-09-24 04:31:03,16.57,31.3,263,174,33.341,114.0,262,,44.7,44.0,-59,1,0.81
IOT-0000066,SENS-0305,parking,Green,40.573743,-74.119889,2024-01-31 12:59:23,25.65,90.1,341,102,9.541,195.5,191,74.4,3.6,96.2,-74,0,0.89
IOT-0000067,SENS-0400,pedestrian,Transit,40.895868,-73.742849,2024-06-26 08:12:20,19.32,63.7,2,45,30.005,229.9,57,65.7,,24.8,-108,0,0.63
IOT-0000068,SENS-0197,energy,Mixed Use,40.814757,-73.836715,2024-07-02 15:39:27,25.04,37.8,128,26,20.279,643.5,197,84.0,23.6,62.7,-104,0,0.94
IOT-0000069,SENS-0427,water,Industrial,40.60823,-73.715729,2024-01-09 14:17:20,7.83,36.8,110,115,26.386,31.0,133,85.6,67.1,15.2,-51,0,0.83
IOT-0000070,SENS-0080,parking,Mixed Use,40.759573,-74.079957,2024-05-14 03:51:51,16.39,,203,64,33.639,897.8,172,97.0,40.2,38.1,-74,0,0.66
IOT-0000071,SENS-0217,temperature,Transit,40.765257,-73.966768,2024-11-10 19:48:26,18.42,92.1,344,107,19.274,294.3,6,100.8,40.6,72.3,-107,0,0.89
IOT-0000072,SENS-0406,air_quality,Mixed Use,40.613925,-73.720765,2023-08-13 16:47:03,19.76,34.1,170,30,32.476,613.9,,48.5,95.9,19.3,-76,0,0.98
IOT-0000073,SENS-0418,traffic,Government,40.817446,-74.239658,2024-01-07 09:47:14,20.01,23.3,36,174,4.402,812.4,231,95.4,92.3,40.5,-53,1,0.77
IOT-0000074,SENS-0042,traffic,Industrial,40.547628,-74.069018,2023-01-05 17:30:44,,57.5,445,11,32.315,592.3,266,80.3,40.2,41.6,-54,1,0.83
IOT-0000075,SENS-0214,traffic,Industrial,40.50287,-74.153559,2024-06-18 00:10:49,15.54,23.5,285,194,33.736,135.2,230,106.5,50.1,77.0,-53,1,0.7
IOT-0000076,SENS-0411,noise,Commercial,40.754723,-74.027387,2023-05-10 12:24:48,5.42,92.3,11,82,30.857,869.1,263,79.2,18.2,19.4,-108,1,0.61
IOT-0000077,SENS-0324,temperature,Mixed Use,40.893055,-73.930216,2023-08-20 18:11:01,17.81,84.8,488,,33.808,636.4,185,89.5,75.6,87.3,-59,0,0.69
IOT-0000078,SENS-0075,water,Transit,40.522606,-74.228212,2024-08-29 00:15:50,11.22,66.8,215,125,48.855,,107,41.4,44.8,51.0,-90,0,0.87
IOT-0000079,SENS-0159,water,Transit,40.657795,-74.006635,2023-09-05 11:56:16,10.93,59.5,126,71,39.979,475.0,169,70.5,82.3,34.2,-83,0,0.61
IOT-0000080,SENS-0451,energy,Mixed Use,40.650846,-74.033299,2023-04-23 20:18:06,11.47,57.3,350,19,7.464,153.9,107,67.5,57.2,97.9,-110,0,0.71
IOT-0000081,SENS-0090,pedestrian,Green,40.701738,-74.011702,2023-10-15 00:20:46,22.34,80.3,273,,40.788,570.6,150,66.7,37.6,49.2,-69,0,0.85
IOT-0000082,SENS-0073,energy,Industrial,40.752634,-73.776489,2023-03-14 06:25:15,21.89,54.4,359,186,5.378,716.0,8,57.1,,31.7,-109,0,0.61
IOT-0000083,SENS-0379,temperature,Mixed Use,40.695606,-74.130374,2023-06-15 16:47:26,14.39,37.6,224,136,3.43,786.5,111,109.3,99.4,92.5,-104,0,0.76
IOT-0000084,SENS-0111,water,Government,40.887994,-74.209861,2023-02-22 06:33:25,14.77,66.3,331,87,26.387,801.4,257,42.0,46.0,59.8,-97,1,0.88
IOT-0000085,SENS-0443,air_quality,Mixed Use,40.907597,-73.73456,2023-03-04 17:42:15,23.93,82.6,402,133,30.582,577.1,38,,72.4,50.8,-64,0,0.96
IOT-0000086,SENS-0251,energy,Government,40.900502,-73.833173,2023-12-08 00:41:06,21.39,34.5,-1,170,,576.2,,87.5,27.0,96.1,-57,1,0.99
IOT-0000087,SENS-0444,temperature,Green,40.712849,-73.751967,2024-02-28 07:25:07,24.3,35.1,496,120,46.069,153.2,261,43.3,39.6,67.0,-53,1,0.98
IOT-0000088,SENS-0228,traffic,Commercial,40.514608,-73.889244,2024-10-11 10:30:15,-0.06,50.3,318,59,32.162,969.3,79,93.4,5.6,56.5,-97,0,0.69
IOT-0000089,SENS-0422,temperature,Transit,40.514721,-73.888053,2024-02-08 00:09:37,,70.8,283,119,40.153,509.6,254,94.4,65.6,19.0,-85,1,0.63
IOT-0000090,SENS-0388,traffic,Mixed Use,40.62365,-73.810956,2023-03-21 04:53:18,34.99,81.2,144,65,12.693,908.2,2,50.2,66.1,27.6,-105,0,0.81
IOT-0000091,SENS-0414,traffic,Transit,40.897171,-74.185728,2024-03-15 04:30:32,18.5,82.9,377,159,27.294,975.5,86,56.8,27.8,31.3,-93,0,0.63
IOT-0000092,SENS-0077,temperature,Restricted,40.764716,-73.946261,2024-10-14 14:29:45,21.57,68.3,125,90,13.252,284.2,32,46.9,,70.9,-66,0,0.61
IOT-0000093,SENS-0444,energy,Green,40.886069,-74.023771,2024-11-28 18:47:48,20.01,27.7,416,134,15.994,550.2,223,,21.2,64.8,-79,1,0.9
IOT-0000094,SENS-0286,pedestrian,Government,40.764943,-74.041034,2024-05-21 06:04:23,22.5,48.5,-1,124,4.854,76.4,166,41.9,68.9,85.3,-96,1,0.86
IOT-0000095,SENS-0046,noise,Government,40.796145,-73.885791,2023-07-06 01:24:24,10.82,68.2,178,195,6.637,621.0,208,74.9,84.4,10.1,-45,1,0.66
IOT-0000096,SENS-0270,water,Residential,40.680077,-73.728755,2023-12-04 04:48:08,12.39,65.9,121,172,1.573,516.6,121,94.4,45.2,78.8,-46,0,0.63
IOT-0000097,SENS-0247,water,Industrial,40.515031,-73.950511,2023-09-04 10:12:19,5.76,94.8,110,,33.746,795.4,268,50.1,6.6,93.8,-71,1,0.91
IOT-0000098,SENS-0348,water,Green,40.787138,-74.152464,2024-10-25 03:11:38,5.67,77.9,397,38,40.482,988.4,181,93.8,14.9,37.1,-108,0,0.69
IOT-0000099,SENS-0241,air_quality,Green,40.748446,-73.894169,2024-06-15 01:49:43,14.1,83.8,44,96,41.337,525.5,264,83.2,1.3,95.6,-109,1,0.98
IOT-0000100,SENS-0351,air_quality,Industrial,40.861188,-74.10119,2024-06-21 23:12:12,17.63,,437,31,46.389,693.5,244,95.9,81.3,64.7,-54,1,0.98
IOT-0000101,SENS-0301,temperature,Industrial,40.838595,-74.069494,2024-05-02 09:46:27,20.26,59.1,328,34,2.087,387.2,154,65.5,13.6,37.2,-68,0,0.69
IOT-0000102,SENS-0450,water,Residential,40.560042,-74.144717,2023-10-10 09:36:42,22.31,31.0,183,123,1.655,152.5,81,97.1,61.1,65.8,-92,0,0.71
IOT-0000103,SENS-0091,parking,Green,40.714901,-74.169952,2023-05-24 16:54:40,12.98,78.7,254,149,49.295,464.0,204,72.5,98.4,39.0,-87,1,0.81
IOT-0000104,SENS-0220,water,Restricted,40.697784,-73.791597,2023-01-02 07:26:51,9.12,33.9,1,187,12.709,806.8,243,34.1,46.3,69.0,-95,1,0.69
IOT-0000105,SENS-0264,temperature,Industrial,40.76807,-74.033428,2023-08-26 13:14:33,4.36,38.3,145,36,41.762,925.8,195,96.2,,48.2,-66,0,0.98
IOT-0000106,SENS-0425,temperature,Residential,40.509169,-73.93803,2023-02-25 22:58:30,11.44,49.6,13,137,49.492,174.6,113,93.7,25.4,77.4,-52,0,0.95
IOT-0000107,SENS-0136,pedestrian,Mixed Use,40.59717,-73.93258,2023-03-25 20:34:58,23.42,84.3,115,77,22.305,823.0,186,102.5,9.8,86.0,-86,0,0.94
IOT-0000108,SENS-0450,pedestrian,Restricted,40.838086,-74.211788,2024-01-11 22:25:29,19.72,76.3,116,116,46.347,,54,100.5,,76.2,-91,0,0.85
IOT-0000109,SENS-0213,pedestrian,Mixed Use,40.857333,-73.834959,2024-03-19 01:52:47,3.84,79.3,386,57,5.853,103.4,223,104.2,81.6,82.6,-64,1,0.98
IOT-0000110,SENS-0421,pedestrian,Mixed Use,40.61886,-73.743938,2023-08-25 00:12:15,11.56,36.4,171,158,1.749,449.6,124,41.6,80.9,49.6,-94,0,0.65
IOT-0000111,SENS-0343,pedestrian,Restricted,40.743445,-74.047325,2024-05-09 00:44:05,0.09,34.3,277,22,36.948,302.6,140,46.3,72.8,38.3,-110,0,0.82
IOT-0000112,SENS-0388,traffic,Industrial,40.827325,-73.956812,2024-06-16 00:22:23,22.72,83.5,383,72,3.036,82.0,52,78.4,2.7,71.1,-41,0,0.99
IOT-0000113,SENS-0154,temperature,Residential,40.623279,-73.747115,2024-08-30 14:32:53,22.53,75.4,416,14,40.184,765.1,0,72.9,62.0,55.7,-72,0,0.84
IOT-0000114,SENS-0257,air_quality,Residential,40.878051,-74.110238,2023-02-28 19:28:42,10.64,29.0,401,187,7.395,993.3,145,70.0,79.0,52.1,-60,0,0.85
IOT-0000115,SENS-0216,parking,Government,40.614043,-73.935086,2023-09-21 12:32:29,18.55,29.6,396,111,46.999,858.9,130,91.9,5.0,61.7,-43,0,0.71
IOT-0000116,SENS-0319,energy,Transit,40.531284,-73.831731,2023-10-29 16:06:24,,69.3,470,137,16.759,231.9,23,30.1,43.6,56.0,-44,0,0.76
IOT-0000117,SENS-0392,parking,Residential,40.661422,-74.097371,2024-11-24 11:15:10,19.91,32.5,-1,120,4.121,791.0,77,46.0,58.6,10.2,-52,1,0.79
IOT-0000118,SENS-0325,air_quality,Residential,40.852389,-74.207821,2024-12-07 06:01:49,14.3,51.3,73,108,16.4,734.1,6,50.1,38.6,62.0,-64,0,0.84
IOT-0000119,SENS-0311,parking,Industrial,40.647122,-74.056862,2023-11-03 17:28:41,15.59,69.7,184,191,11.349,40.3,206,53.9,21.4,68.2,-45,1,0.86
IOT-0000120,SENS-0050,pedestrian,Government,40.64574,-73.953058,2023-04-06 00:36:44,2.93,90.0,262,122,11.119,641.6,264,67.7,37.5,56.0,-107,1,0.99
IOT-0000121,SENS-0362,parking,Residential,40.875936,-73.91403,2024-05-11 18:22:35,21.02,72.8,173,179,13.586,408.2,164,101.6,24.6,27.8,-76,0,0.86
IOT-0000122,SENS-0362,water,Industrial,40.674154,-74.213864,2024-06-23 15:05:47,26.88,82.7,199,118,44.703,822.4,246,83.3,92.8,7.0,-82,1,0.9
IOT-0000123,SENS-0439,traffic,Restricted,40.514951,-74.185896,2024-06-05 09:46:32,14.38,94.1,-1,173,7.918,220.4,298,56.7,67.3,96.5,-101,1,0.61
IOT-0000124,SENS-0333,air_quality,Green,40.830738,-74.232807,2024-09-24 13:41:19,1.29,42.0,450,78,5.573,682.5,4,64.3,24.5,44.6,-63,0,0.97
IOT-0000125,SENS-0426,energy,Commercial,40.894077,-73.78095,2023-11-23 06:19:41,35.35,49.7,426,25,36.901,702.8,112,65.6,68.1,43.8,-97,0,0.93
IOT-0000126,SENS-0047,traffic,Restricted,40.728883,-73.970136,2023-03-09 17:48:54,28.2,94.7,440,,3.4,996.6,89,61.9,26.3,47.8,-89,0,0.94
IOT-0000127,SENS-0031,pedestrian,Industrial,40.662333,-73.704534,2024-12-28 17:24:40,24.16,67.6,191,74,16.63,617.3,193,70.9,60.0,22.1,-52,0,0.99
IOT-0000128,SENS-0490,noise,Restricted,40.646935,-74.063869,2023-10-24 07:39:50,28.19,37.8,451,162,42.68,491.2,200,31.2,16.5,89.2,-47,0,0.65
IOT-0000129,SENS-0366,air_quality,Green,40.698574,-73.730167,2023-01-30 04:49:02,33.61,68.7,80,171,5.935,780.7,44,38.7,50.8,41.7,-95,0,0.73
IOT-0000130,SENS-0054,traffic,Government,40.668121,-73.710098,2023-08-27 09:36:25,13.34,66.6,150,105,5.489,125.3,146,48.7,42.7,53.1,-74,0,0.82
IOT-0000131,SENS-0055,water,Restricted,40.575909,-73.823824,2023-02-28 03:23:29,15.07,22.0,258,36,38.7,770.1,240,75.4,81.2,88.5,-74,1,0.76
IOT-0000132,SENS-0331,temperature,Restricted,40.662055,-73.729052,2023-06-15 16:50:57,17.33,41.7,54,151,36.273,770.7,182,37.6,43.8,12.6,-81,0,0.76
IOT-0000133,SENS-0112,air_quality,Green,40.909573,-73.723161,2023-11-22 02:25:31,,44.9,208,31,26.171,869.7,115,101.8,3.6,35.2,-83,0,0.93
IOT-0000134,SENS-0069,pedestrian,Mixed Use,40.641317,-73.742896,2023-05-15 03:17:27,25.05,86.2,23,160,24.419,233.7,113,37.8,70.1,89.3,-52,0,0.97
IOT-0000135,SENS-0324,traffic,Commercial,40.617188,-73.908264,2024-10-19 16:51:24,14.41,64.4,340,166,24.88,36.2,148,94.9,75.5,32.7,-62,0,0.87
IOT-0000136,SENS-0178,water,Industrial,40.812813,-73.777644,2024-10-30 16:10:42,,86.7,234,29,13.595,52.6,13,95.6,99.3,5.3,-49,0,0.82
IOT-0000137,SENS-0048,traffic,Mixed Use,40.719358,-74.089497,2023-02-22 17:11:53,12.88,90.5,227,70,49.046,128.0,48,38.2,18.7,13.8,-55,0,0.81
IOT-0000138,SENS-0363,temperature,Mixed Use,40.616658,-74.094163,2024-02-05 09:35:45,23.16,68.4,408,141,39.878,619.7,173,,54.9,60.1,-40,0,0.89
IOT-0000139,SENS-0425,parking,Commercial,40.706237,-73.988994,2024-03-05 15:00:56,29.73,63.0,130,57,28.285,490.0,279,63.4,59.3,44.8,-109,1,0.65
IOT-0000140,SENS-0257,noise,Commercial,40.834027,-74.013301,2024-02-11 03:43:29,16.38,,40,18,46.729,429.7,188,85.5,73.1,80.9,-53,0,0.84
IOT-0000141,SENS-0092,air_quality,Mixed Use,40.61597,-73.995586,2024-12-30 00:32:30,5.22,60.9,135,41,36.818,930.0,160,87.2,26.4,58.2,-67,0,0.89
IOT-0000142,SENS-0402,temperature,Transit,40.744415,-74.031058,2024-01-02 20:58:03,15.16,68.4,458,78,46.151,284.2,27,92.7,60.9,40.2,-49,0,0.67
IOT-0000143,SENS-0011,energy,Government,40.583403,-74.156307,2023-05-08 23:29:28,19.59,90.4,221,192,34.272,545.0,143,107.8,71.5,46.6,-50,0,0.78
IOT-0000144,SENS-0448,energy,Restricted,40.547813,-74.014454,2024-10-15 05:30:03,4.59,41.4,197,172,13.527,412.7,137,85.0,32.3,8.7,-105,0,0.98
IOT-0000145,SENS-0089,parking,Industrial,40.869215,-73.902354,2024-11-01 07:06:45,8.31,63.9,110,150,46.701,962.2,259,49.2,15.2,60.7,-72,1,0.94
IOT-0000146,SENS-0047,air_quality,Industrial,40.515166,-73.851169,2023-03-09 08:52:47,17.06,30.8,248,141,10.474,327.7,123,77.0,7.6,63.8,-77,0,0.62
IOT-0000147,SENS-0073,water,Restricted,40.513636,-73.859397,2023-03-05 21:45:19,12.17,34.8,247,110,29.696,977.9,300,94.0,32.5,18.2,-91,1,0.61
IOT-0000148,SENS-0471,traffic,Residential,40.627468,-73.759829,2023-07-31 08:33:13,19.45,44.5,17,68,4.566,390.6,239,52.9,90.8,29.5,-104,1,0.9
IOT-0000149,SENS-0154,noise,Residential,40.59086,-74.033789,2024-01-17 07:35:29,13.79,21.2,487,166,9.808,325.2,74,69.0,20.1,17.2,-71,0,0.82
IOT-0000150,SENS-0315,air_quality,Industrial,40.565002,-74.182712,2023-04-21 12:00:20,17.48,67.0,257,138,45.393,614.9,8,102.5,55.2,16.6,-66,0,0.93
IOT-0000151,SENS-0323,noise,Industrial,40.746668,-73.928504,2023-08-22 06:55:49,29.5,65.9,-1,174,15.665,565.3,282,86.1,21.8,37.4,-90,1,0.79
IOT-0000152,SENS-0144,noise,Restricted,40.526335,-73.872247,2023-01-06 19:38:30,8.28,50.5,-1,64,10.049,630.1,82,44.1,40.6,33.9,-57,1,0.95
IOT-0000153,SENS-0302,pedestrian,Government,40.6793,-73.744399,2024-07-09 10:29:25,3.95,84.3,319,60,29.499,346.2,82,,49.3,71.2,-81,0,0.83
